Country,Strategic_Tactic
Australia,Traditional Leisure
Austria,Traditional Leisure
Bangladesh,Resilient Core
Belgium,Traditional Leisure
Canada,Traditional Leisure
China,Emerging Markets
Czech Republic,Emerging Markets
Denmark,Traditional Leisure
Finland,Emerging Markets
France,Traditional Leisure
Germany,Traditional Leisure
India,Resilient Core
Indonesia,Resilient Core
Israel,Emerging Markets
Italy,Traditional Leisure
Japan,Resilient Core
Kuwait,Seasonal Youth
Malaysia,Resilient Core
Maldives,Resilient Core
Netherlands,Traditional Leisure
New Zealand,Traditional Leisure
Norway,Traditional Leisure
Oman,Seasonal Youth
Pakistan,Resilient Core
Philippines,Resilient Core
Poland,Emerging Markets
Russia,Emerging Markets
Saudi Arabia,Seasonal Youth
Singapore,Resilient Core
South Africa,Emerging Markets
South Korea,Resilient Core
Spain,Emerging Markets
Sweden,Traditional Leisure
Switzerland,Traditional Leisure
Thailand,Resilient Core
U.K,Traditional Leisure
U.S.A.,Traditional Leisure
UAE,Seasonal Youth
Ukraine,Seasonal Youth
Others - Africa,Resilient Core
Others - Asia,Resilient Core
Others - Australasia,Resilient Core
Others - East Asia,Resilient Core
Others - Eastern Europe,Emerging Markets
Others - Latin America & The Caribbean,Emerging Markets
Others - Middle East,Seasonal Youth
Others - South Asia,Resilient Core
Others - Western Europe,Emerging Markets
